source,target,value
składki,przychody,2768.5
patronite,przychody,189.67
przychody,wydatki,2958.17
code:me,wydatki,2219.15
wydatki,czynsz,4617.85
wydatki,media,272.12
media,internet,102.89
media,woda,9.98
media,prąd,0
media,ogrzewanie,159.235425
wydatki,utrzymanie,287.35146
wydatki,meetup,26
